you,yall,I,we
you,yall,me,us
you,yall,he,they
you,yall,she,they
you,yinz,I,we
you,yinz,me,us
you,yinz,he,they
you,yinz,she,they
you,youse,I,we
you,youse,me,us
you,youse,he,they
you,youse,she,they
you,youguys,I,we
you,youguys,me,us
you,youguys,he,they
you,youguys,she,they
you,youall,I,we
you,youall,me,us
you,youall,he,they
you,youall,she,they
yinz,Pittsburgh,yall,?
yinz,Pittsburgh,youse,?
yinz,Pittsburgh,youguys,?
yinz,Pittsburgh,youall,?
yinz,Pittsburgh,you,?
yall,South,yinz,?
yall,South,youse,?
yall,South,youguys,?
yall,South,youall,?
yall,South,you,?
youall,Kentucky,yall,?
youall,Kentucky,youse,?
youall,Kentucky,youguys,?
youall,Kentucky,yinz,?
youall,Kentucky,you,?
youguys,California,yall,?
youguys,California,youse,?
youguys,California,youall,?
youguys,California,yinz,?
youguys,California,you,?
youguys,North,yall,?
youguys,North,youse,?
youguys,North,youall,?
youguys,North,yinz,?
youguys,North,you,?
youguys,America,yall,?
youguys,America,youse,?
youguys,America,youall,?
youguys,America,yinz,?
youguys,America,you,?
